IsGot,numberOfCountries,numberOfRegions,timeCost,isTimeOut,solutionExists,Path,Query
True,1,0,0.0362,False,True,"[761, 762, 763, 6104, 2976]","{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 38271], 'hotelRating': None, 'arrivalRegionId': 2, 'departRegionId': 2}"
True,1,0,0.0009,False,True,"[694, 2501]","{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
False,1,0,20.0104,True,unknown,[],"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': ['2080'], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 2, 'departRegionId': 27}"
True,1,0,0.001,False,True,"[694, 2501]","{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
False,1,0,20.0098,True,unknown,[],"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': ['2080'], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 27, 'departRegionId': 27}"
False,1,0,20.0074,True,unknown,[],"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': ['2080'], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 27, 'departRegionId': 27}"
True,1,0,0.0256,False,True,"[173, 5075, 3917, 3918]","{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
True,1,0,0.0282,False,True,"[173, 5075, 3917, 3918]","{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
True,1,0,0.0313,False,True,"[164, 165, 1426, 167]","{'days': [], 'countries': [{'country_id': 17, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
True,1,0,0.0318,False,True,"[164, 165, 1426, 167]","{'days': [], 'countries': [{'country_id': 17, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
True,1,0,0.0272,False,True,"[173, 5075, 3917, 3918]","{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
True,1,0,0.0309,False,True,"[164, 165, 1426, 167]","{'days': [], 'countries': [{'country_id': 17, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1584, 16804], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
True,1,0,0.0258,False,True,"[173, 5075, 3917, 3918]","{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
